,_,mrw,sentence
3914,,soft intrusion on studded,I wished that Ellen and Rickie would go to their beds for the soft mutter of their voices was an intrusion on the dark and studded infinity through which I steered Wavebreaker
3915,,taken in occupied about,The picture very like the one Rufus Fletcher had taken in the summer of 1976 occupied the screen for about fifteen seconds
3916,,whole allowed that in at,The whole item was allowed no more than four times that in the BBC 's Sunday evening news broadcast at 6.30
3917,,to about having,The other forty-five seconds were taken up by a policeman talking to a reporter about having nothing to say except that there would be an inquest
3918,,unwinding,Adam Verne-Smith unwinding in Puerto de la Cruz did not of course see it
3919,,came,They were expensive to buy and came a day late
3920,,to,His father at home in Edgware said to his wife
3921,,jog into,The policeman talked the reporter trying to jog him into revelations and failing
3922,,at,Lewis Verne-Smith sat shaking his head less as a gesture of denial than of a generalized despair at the state of the world
3923,,these with from that bitterness revived had,It was not that unpleasant memories were evoked for these were always with him his existence was inseparable from that old bitterness but that a sight of the house even the glimpse of a photograph revived the precise feelings he had had why it must be getting on for eleven years ago
3924,,ways about,No two ways about it I shall have to get in touch with them
3925,,this,Not this evening surely said Beryl who wanted to watch Mastermind
3926,,underwent curious shrinking to subject,The room in which they were sitting underwent the curious shrinking process to which it was subject whenever he was reminded of Wyvis Hall or his Uncle Hilbert or even if the county of Suffolk were mentioned
3927,,with pettish,Lewis got up and pulled the curtains across with a pettish jerk of his hands
3928,,that,What would that be in aid of
3929,,among point this out,Beryl meant that Adam had been among the previous owners of Wyvis Hall while her husband had not but she knew better than to point this out
3930,,that,There is no one living knows that lovely place better than 1
3931,,That true,That 's true
3932,,until,but I shall wait until tomorrow
3933,,put feelings into in deep recesses,Men and women do not usually put their baser feelings and intentions into words not even in the deep recesses of their own minds
3934,,to privately considering get hold,So Lewis did not say even to himself when he was privately considering trying to get hold of his son in Tenerife that he disliked Adam and would have been pleased to spoil his holiday
3935,,justified about,Instead he rationalized his thoughts and justified himself Adam probably indeed almost certainly knew nothing about the find in the pine wood but Adam had once owned the house and had thus taken on a responsibility
3936,,shed that,He could not shed that responsibility just because he had sold the place
3937,,with,Lewis would have agreed with Oscar Wilde that our past is what we are
3938,,face music this short blast on tin whistle,Therefore it was Adam 's duty to come home and face the music even though this might be no more than a short blast on a tin whistle
3939,,had,But he had no precise idea where Adam was and he did not think Adam 's travel agent a personal friend of the young Verne-Smiths would tell him
3940,,made,Some excuse would be made for not telling him
3941,,bark bite,Lewis 's bark anyway was always worse than his bite
3942,,had bite to with helpless,He had virtually no bite as he had once overheard Adam say to Bridget and heard it with helpless chagrin
3943,,bloody thing,A bloody good thing or our childhood would have been a misery instead of just a bore
3944,,on,Lewis walked into his local police station in Edgware on Monday morning
3945,,hunting up,The Suffolk police had begun hunting up previous owners of Wyvis Hall and they had been alerted that a Verne-Smith lived in their area
3946,,after in,There were after all only two in the London phone directory
3947,,This,This might be a bonus
3948,,prepared take from,He was asked to wait and then shown into a room where a detective sergeant prepared to take a statement from him
3949,,With busy to gone on on restrained,With busy pomposity Lewis dictated it to a typist and would have gone on and on had he not been diplomatically restrained
3950,,through,Wyvis Hall Nunes Suffolk and the twenty acres of land surrounding it were the property through his marriage of my uncle Hilbert Verne-Smith
3951,,came into under bypassing at,They came into the possession of my son Hilbert John Adam Verne-Smith under my uncle 's will bypassing myself though my son was no more than nineteen at the time of my uncle 's death
3952,,at considered,Being an undergraduate at the time my son naturally never considered actually residing in the house
3953,,in with in took placed in hands,He was in agreement with my suggestion that the property be sold and before he returned to college in the autumn of 1976 he took my advice and placed house and lands in the hands of an estate agent
3954,,at,Country properties were not selling well at the time
3955,,hung fire,"£45,000 was the asking price and I was not surprised that the sale so to speak hung fire"
3956,,in made,However in the spring of 1977 an offer was made which my son accepted
3957,,This until following to,"This sale later fell through and it was not until the following August that Wyvis Hall was finally sold to a Mr and Mrs Langan for the much improved figure of £51,995"
3958,,far with confined to,As far as I know my son 's personal acquaintance with Wyvis Hall was confined to my uncle 's lifetime when 1 my wife and son and daughter frequently stayed with him
3959,,After in on at separate reaching about,After my uncle 's death in April 1976 he visited Wyvis Hall on perhaps two or at the most three separate occasions simply for the purpose of looking it over and reaching a decision about the disposal of furniture and effects
3960,,took between,I suppose it is possible that squatters or other vagrants took possession of the house between the time of my uncle 's death and the sale of the property
3961,,on,Certainly my son never let it or allowed anyone to occupy it on either a temporary or permanent basis
3962,,on,My son is at present on holiday in Tenerife with his wife and daughter
3963,,in about from,I can not say precisely when I expect him to return though I should suppose in about a week from now
3964,,small quiet,It was all very small and quiet and low-key
3965,,in measured inch in depth,The snippet in Rufus 's Monday morning newspaper measured just an inch in depth
3966,,answered told those,It answered the question he had asked himself and told him that the bones of a very young child had been found as well as those of a young woman.
3967,,This shock,This was not a shock
3968,,this,How could it be otherwise since this was Wyvis Hall and the pine wood and the animal cemetery
3969,,with,To photograph the house for the news last night the cameraman must have stood just where he had stood himself on the edge of the lawn with his back to the cedar tree
3970,,thing about rubbish,One thing about Zosie 's pilfering she never stole rubbish
3971,,taken after that,He had taken a picture of her after that and one of the animal cemetery
3972,,up,Why is the grass always so short up here
3973,,bloody,Why ca n't bloody rabbits come and eat my lawns
3974,,to,Adam always referred to my lawns my house my furniture
3975,,got up nose had this,It had got up Rufus 's nose a bit though Adam had a perfect right to do this
3976,,went to head,It was his all of it and it went to his head rather
3977,,after,Nineteen-year-olds seldom inherit country mansions after all
3978,,in took those couple over,It must have been some time in August when I took those pictures Rufus thought and a couple of weeks later it was all over
3979,,bowing shivering,It was raining intermittently all the time they were in the cemetery the pines bowing and shivering in the wind
3980,,take,Sometimes they had had to stop and take shelter under the closely planted-trees
3981,,held,If the weather had held and still been hot and dry would they have dug deeper
3982,,sheet hard shower back about making on side,A sheet of rain had come down then a hard gusty shower while they were laying the squares of turf back in place and Adam had said something about the rain making the grass grow quickly the rain being on their side
3983,,separate,We should all go our separate ways as soon as we can Rufus had said
3984,,At point,At some point Rufus himself had taken the things out of the fridge and left the door open to defrost it
3985,,wrench,Adam closed the front door and stood there for a moment as if he could not wrench himself away
3986,,stripped from whipping,So much of its beauty had been stripped from it by the whipping winds
3987,,neglect long,And by the neglect of the long hot summer
3988,,dashed in,A sudden gust of rain dashed against the red bricks that were already stained in patches by water
3989,,Dirty tumbled shone glazed,Dirty grey clouds tumbled across the sky above the slate roof now the only thing that shone glazed with rain
3990,,admitted to meant to,But Rufus admitted to himself that the beauties of nature and architecture had never meant much to him
3991,,up back,They all got into Goblander and he drove away up the drift Adam next to him the others in the back
3992,,tunnel,The drift had become a tunnel of overgrowth that dripped water on to the roof of the van
3993,,allowed turn,None of them allowed their eyes to turn towards the pine wood
3994,,with,Adam 's simile not his thought Rufus with a grimace
3995,,met,They must have gone a good two miles before they met another car
3996,,going dropped back catch,Rufus overtook a bus going to Colchester and dropped the two in the back so that they could catch it
3997,,catch at that point,He took Adam on to Sudbury for him to catch a train there and at that point they parted
3998,,from in taste,Which was probably a quotation from something though Rufus did not know what and thought fastidiously that it was in bad taste histrionic though just like Adam
3999,,Take,Take care said Rufus and not looking back any more than he had done when they returned from the cemetery drove off round the town he had got to know so well over the Stour bridge into Essex heading for Halstead and Dunmow and Ongar and London
4000,,in over,Briefly starting his fifth year in medical school something over thirteen months later he had wondered if Shiva Manjusri would be one of the incoming freshmen
4001,,accurate,But no his intuition had been accurate
4002,,At rate,At any rate Shiva 's face was not among the several brown faces
4003,,presented,As for the others avoiding them had presented no problems
4004,,plans made this,No contingency plans had been made for this eventuality
4005,,hunt felt safe,So long as there was no hunt for a missing girl they had felt themselves reasonably safe
4006,,reached out to in,Their minds had not reached out to the terror of what had in fact happened
4007,,devotion to,None of them had been the kind of people who could have imagined devotion to a pet animal or according to it funerary rites
4008,,on,They had congratulated him on his ingenuity
4009,,upset about,An ovarian cyst nothing to get upset about Rufus told Ms Beauchamp
4010,,with to,She was thirty-two an editor with a distinguished publishing house married to an investigative journalist
4011,,had,As yet they had no children but she wanted four she told Rufus
4012,,had,He had another glance at her notes
4013,,In about this in had,In fact a peculiarity about this condition is that it seldom if ever occurs in a woman who 's had a baby
4014,,making got,'and there was 1 making my husband 's life a misery sure I 'd got the dreaded C.
4015,,got poor things,They all thought they 'd got the dreaded C poor things
4016,,set in train admitted to with to,Rufus took her £40 off her by the reception desk having set in train the arrangements by which she would be admitted to a fashionable West End clinic with Rufus her surgery and her hospitalization ultimately paid for by some provident association to which she and her husband subscribed
4017,,back dying,He walked back to his consulting room dying for a cigarette
4018,,This,This was unlike him
4019,,get through until after,He could usually get through quite easily until after lunch
4020,,pass without fresh butt predecessor laced with peak reached,He thought I know what my idea of heaven would be if by heaven we mean a place of bliss in which to pass eternity a sanctuary where one might chain-smoke without impairment of breathing destruction of the lungs or damage to the heart light each fresh cigarette from the glowing butt of its predecessor and drink ice-free but hundred-proof chilled vodka laced with two drops of angostura and a gill of newly opened Perrier endlessly with increasing euphoria until a peak of joy and ease was reached but without any sub-sequent nausea or pain or dehydration or oblivion
4021,,came that faint swimming in,Sitting alone he lit his cigarette the first of the day and there came that faint swimming in the head a tautening of the gut
4022,,comes to light that with cold clarity tells up with,If it comes to light that I was in that house with Adam and the others he thought with cold clarity if someone tells the papers or the police and thence the papers that I was there during the summer of 1976 living there it will be all up with me
4023,,lose have look forward to,I will lose my practice and my reputation and everything that I have and can look forward to if not my liberty
4024,,without about,And without the rest I sha n't care about my liberty
4025,,in branch,It would be bad enough if I were a G P or an expert in some other branch of medicine an orthopaedic surgeon for instance or an ear nose and throat man but I am a gynaecologist and it is the bones of a young woman and a baby that have been found there
4026,,get,I would pick up the phone and phone my solicitor and ask to come and see him and get his advice
4027,,make to under guidance,He might advise me to make a statement to the police which I should of course do under his guidance
4028,,this,But I shall not do this because I am not innocent
4029,,sweat out look in face,I shall sit here and wait and sweat it out and look the facts in the face trying to anticipate the worst that can happen
4030,,thing about way copes,The wonderful thing about the human mind Adam thought is the way it copes when the worst happens
4031,,Beyond that taken place on side end,Beyond that worst happening you think there can be nothing the unimaginable has taken place and on the other side is death destruction the end
4032,,reel from stagger shock enormous recover,But the worst happens and you reel from it you stagger the shock is enormous and then you begin to recover
4033,,rally stand up face,You rally you stand up and face it
4034,,to,You get used to it
4035,,making plans,An hour maybe and you are making contingency plans
4036,,that,For what had happened was not the worst you realized that
4037,,come come come that,The worst was yet to come was perhaps always yet to come never would actually come because if it did you would know it that would be reality and there would be nothing then but to kill yourself
4038,,assembled laid before,Now that he was able to he assembled what had happened and laid the facts before himself
4039,,those,They had dug up those bones at Wyvis Hall and had decided it was murder they were investigating
4040,,Those far up to this,Those were the facts as far as he knew them up to this moment
4041,,in come,He would know more much more in the days to come
4042,,passages in in lost stored limbo from retrieved,The passages it cancelled had in any case as in certain programmes not been lost but stored on some limbo disc from whence they must now be retrieved
4043,,retrieval thing about banish,There must be a total retrieval now the one good thing about which was that it might banish his dreams
4044,,slight feeling,He was aware of a slight feeling of sickness and of cold an absence of hunger though he had been feeling quite hungry when he got off the plane
4045,,passage from came back to,A passage from a novel by John O'Hara came back to Adam
4046,,in way without taste have in join big,He had memorized it years ago in the Ecalpemos epoch The safest way to live is first inherit money second be born without taste for liquor third have a legitimate job that keeps you busy fourth marry a wife who will cooperate in your sexual peculiarities fifth join some big church sixth do n't live too long
4047,,got to joined with,Apart from the last one which he had n't got to yet and the penultimate one which seemed to apply in America more than here here he had joined the golf club he had complied with all the rest
4048,,nature complied,Or his nature and luck had complied for him
4049,,spirit in shock great,But there had been no spirit in him the shock of what his father told him had been too great
4050,,make sit up,Something that will interest you Adam something to make you sit up
4051,,lot,They 've dug up a lot of human bones at my old uncle 's house
4052,,By rallied got together things to,By the time he had rallied and got himself together and was thinking of things to say to the police it was too late and they were heading north
4053,,got,When Lewis said to come back with him and eat there Adam had got a kick on the ankle from Anne and another kick when he had n't replied
4054,,turned on with cold,He had turned on her and said with cold savagery For fuck 's sake stop kicking me will you
4055,,rise about that way to that,He expected his father to rise and say something about that being no way to speak to one 's wife or not in front of the child he was capable of that
4056,,communicated to shown part,His own terrible fear and anger had communicated itself to his father and shown him what the better part of valour was keeping silent
4057,,put cat among pigeons made in way lying low,Having put the cat among the pigeons made mischief in his special way he was lying low now and waiting
4058,,bastard,The old bastard
4059,,left,Adam only wished Uncle Hilbert had left him Wyvis Hall and then there would have been no Ecalpemos no Zosie and no deaths
4060,,see off,And Adam could n't see he would have been much worse off
4061,,this that palace,He and Anne would be living in a house like this one rather than that neo-Georgian palace
4062,,after,Children after all he thought looking at Abigail were happy wherever they were so long as they were loved
4063,,had,His parents had not asked him what sort of holiday he had had or how the flight had been
4064,,on subject,The conversation was exclusively on the subject of the discovery at Wyvis Hall
4065,,shock on hand spoilt,If he had done the shock would have been less but on the other hand his holiday would have been spoilt
4066,,this,Of course he knew there was no possibility of this now or when he returned home for when you were married you never could be alone
4067,,that point,Presumably that was the point
4068,,help,None of it if he could help it
4069,,high,They sat at the table in the dining area to eat an absurdly early high tea
4070,,with,Lewis asked him if he could remember the day when he heard he had inherited Wyvis Hall and had walked in here and astounded them with his news
4071,,subdued air changed to high,Lewis 's subdued air had changed to one of high good humour
4072,,going,Adam could remember very well but he was n't going to say so
4073,,funny thing,What a funny thing said Lewis
4074,,had that,We had ham salad that day too
4075,,looked after,Oh yes I 've been meaning to ask you who was it looked after Wyvis Hall while you were in Greece
4076,,about looking after at concocted tale keep keep,He did n't know what Lewis meant about someone looking after the house but no doubt he Adam had at the time concocted some tale to keep his father quiet to keep him away even
4077,,that far back,How can I remember that far back
4078,,vital,It may be of vital importance
4079,,going,Are n't you going to eat your meat dear said Beryl
4080,,set up,Abigail who had been put upstairs in one of the bedrooms to sleep set up a wailing sound
4081,,back,Anne sat in the front in the passenger seat while Adam was in the back with Abigail
4082,,on,If his father could have found out what flight they were coming on the police certainly could
4083,,account saved,He looked again at the newspaper account of the adjourned inquest that his father had saved for him
4084,,between those to,It would be owners and occupants of Wyvis Hall between nine and twelve years before that they would wish to interview and those were Great-Uncle Hilbert who was dead himself and Ivan Langan to whom he had sold the house
4085,,there,As for other occupants how would they know who else had lived there
4086,as,saw omen shadow cast,The encounter he now saw as an omen a shadow cast by a coming event
4087,,that,What would that event be
4088,,at this point made feel sick,Adam did not want at this point to speculate it made hi– feel sick
4089,,that those,He turned the newspaper over so that he could not see that headline and those paragraphs
4090,,In high spirits about immense advances made in in,In high spirits his father was talking about the immense advances made in forensic science in recent years
4091,,in,Their cases humped upstairs and put into the bedroom Adam looked Rufus Fletcher up in the phone book
4092,,in there at at,He was in there twice at a Wimpole Street number and again at an address in Mill Hill Rufus H. Fletcher MB MRCP
4093,,these,All these years then or for some of them Rufus had been living three or four miles from him
4094,,change point in pursuing that,Women marry and change their names he thought there was no point in pursuing that one
4095,,where that get,Of course he could look up Robin Tatian but where really would that get him
4096,,back,He was reaching-for the blue directory when Anne came back with Abigail in her arms so Adam took her and carried her back to bed himself and tucked her in and kissed her
4097,,had worry about coming to way worried,He wondered if Rufus had children and if so did he worry about them coming to terrible harm the way Adam worried
4098,,whole,Was his whole life affected by what had happened at Ecalpemos
4099,,escaped suppressed jerked away from those,Adam might have escaped the file memories for years suppressed them and jerked violently away from them but he had never been able to pretend he was unscathed by those events
4100,,felt way,Sometimes he felt that he was the person he was because of them and acted the way he did because of their effects
4101,,gone to with,Everything that was left everything he and Rufus had n't sold had gone to Ivan Langan with the house
4102,,song bear,For a song too because he had not been able to bear the thought of going back meeting a valuer walking about the house picking things off shelves and out of cupboards
4103,,taken put down top,He asked the taxi he had taken to put him down at the top of the drift and he had walked to the house
4104,,in that,It was almost a year since he had been there and in that time nothing had been done nothing had been touched
4105,,till,From the pine wood he simply averted his eyes till later
4106,,caught,The drift was thickly overgrown a dank tunnel out of whose bushy sides the tendrils of brambles and briar roses caught at his clothes
4107,,these whipped back drove pad,One of these whipped back at him and as he caught at it a thorn drove into the fleshy pad of his finger
4108,,That,That thorn had been there festering for months
4109,,dull from before,A dull cool summer it had been as different as could be from the year before
4110,,golden bathed,No golden light bathed the red brick of the house
4111,,severe to reproachful,Beautiful yes but severe somehow and to Adam 's heightened awareness reproachful
4112,,found encouraging fostering scenario,He found himself encouraging fostering the scenario illusion
4113,,this part shaggy,Only thus only by pretending unreality pretending this was a part he acted could he go on cross the wild shaggy grass go past the black-branched cedar tree arrive at the porch set in its four Doric columns and insert his key in the lock
4114,,reduced to acquire in formal training course,Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course
4115,,in creative,The techniques just described are no more than guidelines in what remains the creative art of studying and describing what an experienced worker is doing or will be required to do
4116,,in rigid to flexibility,The danger in being too rigid is that justice will not be done to the flexibility and complexity of human performance
4117,,flexible have from design training courses,The danger of being too flexible is that the ergonomists will have an inadequate basis from which to design interfaces training courses and other operator aids
4118,,to,If a comprehensive task description can be completed then it is legitimate to enquire why the task can not be allocated to a technical device rather than a human being
4119,,performance,Yet without a reasonably comprehensive task description the total system performance may be unreliable or unpredictable
4120,,arrived at in context,There is a necessary compromise which can only be arrived at in the context of a particular system
4121,,mentioned twin get present,As mentioned earlier there are always the twin problems of how to get the information and how to present it
4122,,proceed on this this have,It is sometimes easier to proceed on the basis of If I were doing the job this is how I would do it but this can be delusory even for analysts who have past experience as operators
4123,,creating arrived at this against gain,For analysts who are designers creating a new task there may be no alternative but any task description arrived at by this method should be checked against the behaviour of real operators as they gain experience
4124,,about synthesis way,A particular difficulty about task synthesis is that there is no easy way of confirming completeness
4125,,part design origins made,A task description which is part of a design process should be fully documented in terms of the origins of information the assumptions made and the methods used
4126,,producing at levels assemble in network,The standard method of producing task descriptions is to write all the separate sub-tasks at various levels on cards and then assemble the cards in a network
4127,,these separate into small units with,There is a temptation to make these final diagrams very large but often it is more useful to separate into small units with cross-referencing
4128,,this circulated contain,The optimum size seems to be A3 this is easily copied and circulated but is large enough to contain considerable detail
4129,,production manipulation storage block with facilities,The procedure can be computerised there are programmes available for the easy production manipulation and storage of block diagrams with useful cross-referencing facilities
4130,,in from from,There is an inherent difficulty in that often the main dividend from a task analysis is from the act of obtaining it
4131,,Those find gain from,Those not involved find it difficult to gain very much from a presentation of a task description
4132,,in in looking at include in in conducts,Task analysis can be very expensive in skilled manpower but in looking at cost/value it is important to include in value the increase in mutual understanding which occurs when a multi-disciplinary team conducts the analysis
4133,,long,If such a team is used the required man-hours can be optimised by using the Delphi method rather than a long series of group meetings
4134,,arise in conducting discussed in context,Political economic and social issues which arise in conducting Task Analyses are discussed in the context of Job Analysis p. 148
4135,,Application,Application
4136,,Resource central generating asset made progress over,The Human Resource concept of man-power as the central generating asset of any organisation has made some progress over the past twenty years
4137,,around stable,There was particular interest around 1970 when companies were prosperous stable and innovative IPM 1972 Patten 1971
4138,,reverse resource consuming in form,The objective is to revise and almost reverse the traditional accountancy concept of man-power as a resource consuming factor requiring regular payments overheads in the form of heated lighted equipped workspaces and so on
4139,,From narrow viewpoint desirable keep this low,From the narrow accountancy viewpoint people are a cost and it is desirable to keep this cost as low as possible
4140,,In these member on training course,In these terms it is very difficult to justify for example sending a member of staff on a training course
4141,,training,The training requires expenditure and so also does the replacement for the person away
4142,,Where return,Where is the return
4143,,return in resource this in,The return is actually in the improved human resource but this is not readily measurable in terms which accountants use
4144,,reduce resources to this form measurement,There have been two attempts to reduce human resources to this form of measurement Giles and Robinson 1972
4145,,acquire asset level,One is to acquire a human asset multiplier for each level of staff
4146,,with level,The multiplier for manual staff might be unity but it increases with staff level and becomes three or more for management
4147,,together from through to,The other is to add together all the personnel costs for each kind of worker from the original job advertisement through to the retirement or redundancy payments
4148,,attempt obtain,The first does attempt to obtain a value the second remains essentially a cost and not a value
4149,,assume risen to level undertaken assumed to,It would be unduly optimistic to assume that management skills have risen to a level such that costs undertaken can be assumed to be equivalent to value
4150,,direct measure to senior fall rise leaves joins,A less direct measure which is applicable only to the most senior management is to observe the fall or rise of the share price when a particular executive leaves or joins a company
4151,,This high large in market,This can be very high for a large company a change in market value of millions of pounds is not unusual
4152,,serious view high level give this weight,The most serious consequence of the accountancy view of man-power is that high level policy decision-making does not give this factor sufficient weight
4153,,have resources scanty about asset,For example the main board of a company will have complete details of cost and values of physical resources such as buildings and equipment but relatively scanty data about the man-power which is their most important asset
4154,,described,Indeed it will be described almost entirely as a liability because the costs will be known
4155,,broad state negative features strikes low,Similarly broad factors such as the state of morale will again only be described by negative features such as absenteeism stoppages strikes low quality output and so on
4156,,reflect performance level this in brief within,It is obvious that company output and projects must reflect the man-power and its performance level but if this is acknowledged at all it is only in brief verbal terms within for example the chairman 's annual report
4157,,with reduction to manipulation situation,The obsession of current management with measurement and the reduction of every variable to numbers for ease of computer manipulation has worsened the situation
4158,,remedy,Unfortunately there is no easy remedy
4159,,resources susceptible to beyond level,Human resources are too complex a variable to be easily susceptible to measurement beyond the level of counting heads and trades
4160,,at level expressible,Key variables such as the quality of staff at any level and the current morale are only expressible in general verbal descriptive terms
4161,,depress in in high levels these,It is generally accepted p. 145 that hygiene type variables such as pay and working conditions can if they are inappropriately specified depress morale and motivation but they will not in themselves result in very high levels of these parameters
4162,,in attitudes,Morale and motivation are influenced more by conditions of work in the sense of work variety opportunities and attitudes of management
4163,,These emphasis in dealt with in takes make,These factors are worthy of emphasis because in practice they are still dealt with very badly in many organisations and yet it takes little trouble or expertise to make an enormous difference
4164,,senior take keep about,for example very few senior managements take the trouble to keep workers fully informed about policies and likely changes
4165,,on continuous in,The result is excessive reliance on rumour and continuous speculation which is not only time-consuming but is also highly deleterious in morale terms
4166,,measured,The two human factors which can be unambiguously measured are age and sex
4167,,distribution source,The age distribution of a work force is always an interesting and important source of information
4168,,rectangular distribution mix ageing,For most purposes a rectangular distribution is the most desirable because it provides the appropriate mix of youthful enthusiasm and ageing experience
4169,,makes retire replaced,It also makes for regular changes as staff retire and are replaced
4170,,distributions show peak in group with large this desirable leads to at stages,Many distributions show a peak in a particular age group mainly associated with taking on a large number of young people when the organisation was started or reorganised this is not desirable because it leads to excessive competition for promotion at particular stages
4171,,These where this large,These comments are obviously most relevant for work forces where there is little tendency to move out this is characteristic of a surprisingly large number of organisations in European countries and in Japan but much less so in the U.S.A.
4172,,Stable have familiarity with in market,Stable work forces have their advantages in terms of familiarity with the enterprise and its peculiar needs but they do result in problems if the market for the products is erratic or otherwise unpredictable
4173,,This in high plant where extensive,This is particularly so in high technology e.g. design and construction of ships aircraft power stations and chemical plant where the product unit is large and expensive and the variety of required expertise is extensive
4174,,peaks dealt with using fit with,Some peaks of demand can be dealt with by using consultants but they tend to be expensive and do not always fit well with ill-defined but important factors such as the favoured style of the organisation
4175,,In length level in this with,In well ordered systems it may be possible to calculate the length of in-house experience required to achieve the required level of expertise in particular topics and compare this with the lead time for particular product requirements
4176,,train keep nucleus in that,Given time available to train new staff it is not necessary to keep more than a nucleus in that particular expertise
4177,,On hand keep have with little between,On the other hand if there is usually insufficient notice of need it may be necessary to keep staff who have periods with little to do between projects
4178,,have shifting between,It is also desirable to have the possibility of shifting staff between design and operational duties
4179,,This flexibility in,This not only provides flexibility in the use of man-power it also improves communication
4180,,These force larger larger,These real difficulties of man-power utilisation are such as to force many organisations to become larger and larger if they are to remain economic
4181,,Size cushion to markets,Size provides a cushion to the vicissitudes of markets but it creates other problems
4182,,feeling within to,For example difficulties of communications and in particular how to inculcate the feeling within each individual that he and his performance are important to the organisation
4183,,This in in,This is considered in more detail in Chapter 3
4184,,resources to subjects centred at level from through down to,Human resources should be fundamental to subjects such as ergonomics which are essentially centred but the concept remains procedurally undeveloped at any level from a continent through countries regions and companies down to particular working systems
4185,,This makers take account,This is one reason why policy makers never seem to take account fully of the people affected by their decisions
4186,,design,The design of procedures
4187,,support led to design within,The increased importance of standardised informational support for both machines and operators has led to the concept of procedures as a separate design issue within a system Fig. 1.30
4188,,this in extensive,Much of this information can be incorporated in computer programs but there is also a need for extensive printed paper for the use of the operator
4189,,This takes forms,This takes three main forms checklists routines and knowledge-texts
4190,,in this field,The terminology in this field is not standardised
4191,,restricted in this to include sources,Software might be restricted as in this book to computer programs but it is sometimes used as the generic term to include all sources of information
4192,,here support,Procedures is sometimes used for what are here called routines and sometimes to indicate all the operator 's information support except software
4193,,situation further confused support based,The situation is further confused when some but not all the operator information support is itself based
4194,,design,However whatever the terminology used there is a requirement for design effort
4195,,followed simple,The quality of procedures would be much improved if designers followed some simple guide-lines Table 1.16
4196,,on,Many documents are written on the implicit assumption that the reader is much like the writer in terms of expertise and style of thinking
4197,,assumed under take place those,Similarly it is assumed that the conditions under which the reading will take place are the same as those of writing which are usually a clean well-lit office
4198,,plant under,They may have to be read in the open air in rain and darkness or within a plant under oily cramped poorly lit conditions
4199,,has under stress,The user probably has limited expertise and he may be working under various stress conditions
4200,,structure reflect,The material on which the information is printed the typeface used the sequence the structure and the format generally should reflect the conditions of use Easterby and Zwaga 1984
4201,,these things under,All these things can be achieved if it is acknowledged that all procedures should a validated by users under the normal conditions of use
4202,,in,Checklists are used in the pre-start mode for routine maintenance and for fault-finding
4203,,take form guide,They normally take the form of a series of questions or statements which the operator uses to guide and structure his inspection of the hardware and other system components
4204,,dictated in taken in,The sequence is dictated by the optimal order in which actions should be taken for example in starting up an aircraft
4205,,situations great in this structure,There are many situations when the order is of no great consequence for example a safety audit of a new machine and in this latter case some logical structure is needed
4206,,mentioned above design way,As mentioned above the logic of the design may not be the optimal basis if the way the operator thinks and acts is different
4207,,emerge in situation,Baker 1984 suggests that four kinds of shortcoming emerge when checklists are validated in the real situation
4208,,from,The operator may deviate from the listed procedure because it may require excessive moving about or because he is interrupted by the requirements of other tasks
4209,,reveals in design access,Systematic use of a checklist often reveals faults in work design such as inadequate access visibility and labelling
4210,,have vertical horizontal structure poor linking points,Finally the checklist may have reprographic limitations such as inadequate vertical or horizontal structure poor typefaces and insufficient linking of requirements descriptions remarks and tick-off points
4211,,reproduced in,The International Ergonomics Association developed a general ergonomics checklist which is reproduced in Edholm 1967
4212,,about extensive content,There is a deceptive simplicity about such lists which requires extensive effort to ensure a comprehensive but coherent content
4213,,context context conceived,The context is of course the context of ergonomics as conceived by the designers of the list
4214,,form material,A routine is the most common form of instructional material
4215,,follow steps introduce in performance,The reader is required to follow a series of steps which might for example introduce a change in the performance of a complex system
4216,,chains have branching,Normally routines are single chains of instructions although it is possible to have some conditional branching
4217,,step simple in with in flow,Each step should be simple and complete in itself preferably with some indication that successful completion has been achieved for example the appearance or the change of colour of a signal light or the noise of a motor starting or a change of pressure which indicates that there has been a change in the flow of some material
4218,,regarded,As mentioned earlier a routine can often be regarded as a written task description
4219,,design inflexible,By definition and design intention routines are inflexible
4220,,great way saying under-used avoid step reversing steps,No great skill or intellectual effort is required which is one way of saying that the human operator is being under-used but the purpose of a routine is usually to avoid common human error such as omitting a step or reversing steps
4221,,formal left to in,In general the value of formal routines is precisely that the operator left to himself will not normally function in such a systematic sequential manner
4222,,contained in from to large,Knowledge is contained in documents which may vary from single sheet presentations to large manuals
4223,,material indirect told in,As instructional material it is indirect in that the reader is not necessarily told what to do as in a routine
4224,,about situation base from,Rather he is informed about the situation and the purpose of informing him is to provide a knowledge base from which he can work out his own actions
4225,,follow,It is too easy to follow the academic tradition and provide knowledge for its own sake
4226,,applied with material,The need to know criterion is crucial because unless it is applied the operator can be overburdened with unnecessary material
4227,,material,Correspondingly the material should be structured in terms of how it is most likely to be used
4228,,In this context guide,In this context the operator requires a guide for action and not a scientific text-book
4229,,material in short in flowing,It is invariably better to provide material diagrammatically systematically or at least in well-structured short paragraphs rather than in flowing prose
4230,,Consider about from centre,Consider for example how readily information about the relative position of streets is available from a map of a town centre rather than a verbal description of all the streets
4231,,Note enormous flexibility with tell point,Note the enormous flexibility compared with a routine which would tell him only how to get from one particular point to another
